label;HI1;HI3;HI5;HI7;HI9;HI11
HairdryerKipas;99.83;3.6;2.42;1.6;1.28;0.7
HairdryerKipas;99.81;3.99;2.9;1.75;1.09;1.38
HairdryerKipas;99.85;4.1;2.5;1.24;1.57;0.37
HairdryerKipas;99.85;4.15;2.32;0.91;1.21;0.47
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerKipas;99.82;4.47;2.7;1.33;0.99;0.75
HairdryerKipas;99.84;4.16;2.51;0.65;1.67;0.65
HairdryerKipas;99.84;4.2;2.9;1.35;1.37;0.32
HairdryerKipas;99.85;4.18;2.62;0.97;1.23;0.71
HairdryerKipas;99.87;4.01;2.33;1.17;1.32;0.46
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerPemanas Air;0;0;0;0;0;0
HairdryerPemanas Air;99.88;3.98;1.72;1.12;1.35;0.57
HairdryerPemanas Air;99.87;3.96;2;1.1;1.47;0.78
HairdryerPemanas Air;99.89;3.02;2.82;0.88;1.51;0.83
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerPemanas Air;99.9;3.65;1.8;1.06;1.3;0.72
HairdryerPemanas Air;99.89;3.73;1.83;1;1.26;0.57
HairdryerPemanas Air;99.9;3.63;1.83;0.98;1.22;0.71
HairdryerPemanas Air;99.9;3.58;1.76;0.97;1.24;0.71
HairdryerPemanas Air;99.9;3.7;1.79;1.05;1.24;0.6
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerPemanas Air;99.89;3.62;1.88;1.06;1.35;0.73
HairdryerPemanas Air;99.9;3.51;1.63;1.15;1.19;0.79
HairdryerPemanas Air;99.9;3.57;1.8;1.04;1.27;0.59
HairdryerPemanas Air;99.89;3.54;1.91;1.17;1.33;0.93
HairdryerPemanas Air;99.9;3.64;1.81;1.07;1.2;12.57
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerPemanas Air;0;0;0;0;0;0
HairdryerPemanas Air;99.9;3.67;1.78;1.07;1.29;0.61
HairdryerPemanas Air;99.9;3.61;1.81;1.02;1.17;0.65
HairdryerPemanas Air;99.9;3.68;1.82;0.98;1.25;0.77
HairdryerPemanas Air;99.9;3.72;1.79;1;1.22;0.64
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerPemanas Air;0;0;0;0;0;0
HairdryerPemanas Air;99.89;3.65;2.01;1.12;1.44;0.76
HairdryerPemanas Air;99.89;3.75;1.71;0.97;1.39;0.61
HairdryerPemanas Air;99.9;3.68;1.83;1.03;1.28;0.69
HairdryerPemanas Air;99.9;3.57;1.8;1.02;1.19;0.66
HairdryerPemanas Air;99.88;3.92;1.74;1.18;1.26;0.68
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas Air;99.89;3.84;1.79;1.27;1.04;0.55
BlenderPemanas Air;99.89;3.74;1.69;1.16;1.34;0.56
BlenderPemanas Air;99.89;3.72;1.82;1.21;0.98;0.38
BlenderPemanas Air;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas Air;0;0;0;0;0;0
BlenderPemanas Air;99.9;3.61;1.96;1.05;1.22;0.42
BlenderPemanas Air;99.89;3.62;1.64;1.25;1.17;1
BlenderPemanas Air;99.9;3.72;1.72;1.14;1.22;0.5
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas Air;99.9;3.83;1.82;0.98;0.84;0.42
BlenderPemanas Air;99.89;3.79;1.82;1.01;1.02;0.56
BlenderPemanas Air;99.9;3.6;1.75;1.09;1.07;0.68
BlenderPemanas Air;99.89;3.64;1.8;1.1;1.27;0.61
BlenderPemanas Air;99.68;5.91;2.44;1.86;1.11;1.01
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas Air;99.9;3.8;1.71;0.98;1;0.35
BlenderPemanas Air;99.89;3.89;1.75;1.06;0.94;0.35
BlenderPemanas Air;99.9;3.61;1.85;0.99;1.27;0
BlenderPemanas Air;99.9;3.56;1.8;1.07;1.22;0.44
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderPemanas Air;99.9;3.64;1.76;1.09;1.32;0.37
BlenderPemanas Air;99.89;3.57;1.76;1.2;1.41;0.46
BlenderPemanas Air;99.9;3.62;1.89;1.02;1.23;0.32
BlenderPemanas Air;99.88;3.79;1.95;1.21;1.43;0.87
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.46;8.23;2.86;2.91;0.93;1.5
BlenderKipas;99.49;7.79;2.87;2.97;1.28;1.27
BlenderKipas;99.58;7.73;3.27;2.75;1.19;0.48
Kosong;0;0;0;0;0;0
